	vtage	
tmpoltp_delete_2C_40_query450000.ckpt.29938,confidencemetrics,4350850,771008,278796,1492806,13695232,358599,81638,63949,,
tmpoltp_insert_2C_10_query150000.ckpt.29938,confidencemetrics,4172253,563659,224838,998658,15031121,380371,98937,73824,,
tmpoltp_insert_2C_40_query450000.ckpt.29938,confidencemetrics,4173067,562974,225995,1005822,15013860,381052,98419,73873,,
tmpoltp_point_select_2C_10_query150000.ckpt.29938,confidencemetrics,2958774,357354,131376,211786,18280531,490378,112664,54488,,
tmpoltp_point_select_2C_40_query450000.ckpt.29938,confidencemetrics,3120218,370953,135070,217147,17601550,486763,118232,55439,,
tmpoltp_read_only_2C_10_query150000.ckpt.29938,confidencemetrics,4094502,786356,427202,1583651,14637407,387983,87331,67823,,
tmpoltp_read_only_2C_40_query450000.ckpt.29938,confidencemetrics,4158091,799480,433470,1606641,14386808,384712,89470,69093,,
tmpoltp_read_write_2C_10_query150000.ckpt.29938,confidencemetrics,4361866,827111,382535,1719267,14157898,368200,78221,62700,,
tmpoltp_read_write_2C_40_query450000.ckpt.29938,confidencemetrics,4567926,888966,410775,1885801,13330597,366560,78851,65739,,
tmpoltp_update_index_2C_10_query150000.ckpt.29938,confidencemetrics,4911848,875760,286827,1557125,13510370,343556,72266,54947,,
tmpoltp_update_index_2C_40_query450000.ckpt.29938,confidencemetrics,4955769,886792,303767,1731452,13061439,359319,78350,62407,,
tmpoltp_update_non_index_2C_10_query150000.ckpt.29938,confidencemetrics,2913212,410658,171240,517004,17413180,438171,120271,74944,,
tmpoltp_update_non_index_2C_40_query450000.ckpt.29938,confidencemetrics,2607429,355282,155848,536621,16477887,384263,101728,66240,,
tmpoltp_write_only_2C_10_query150000.ckpt.29938,confidencemetrics,5095349,1003885,408233,2317453,12122877,351337,65761,57748,,
tmpoltp_write_only_2C_40_query450000.ckpt.29938,confidencemetrics,4581125,839383,309914,1716816,13339774,359517,76637,64373,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_0_query20000.ckpt.26599,confidencemetrics,4506350,980098,498728,2782388,13767394,519904,90267,66208,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_17_query190000.ckpt.26599,confidencemetrics,4390323,971293,489241,2845787,13854466,507077,96797,69073,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_22_query240000.ckpt.26599,confidencemetrics,4341565,964229,478798,2869565,13899986,498596,100577,72073,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_29_query310000.ckpt.26599,confidencemetrics,4389770,968360,487049,2844838,13855286,502483,100137,70740,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_34_query360000.ckpt.26599,confidencemetrics,4345091,960963,482158,2879535,13878793,498368,99440,71662,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-GET-p1_port10001_2C_8_query100000.ckpt.26599,confidencemetrics,2249088,382310,181768,554116,18281784,475348,103699,65035,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_13_query150000.ckpt.26599,confidencemetrics,3799610,467180,268826,2011909,16107960,359333,67064,64079,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_18_query200000.ckpt.26599,confidencemetrics,3847721,465938,238545,1997831,16106366,362495,66959,64697,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_22_query240000.ckpt.26599,confidencemetrics,3840542,475854,235759,1987292,16116791,361422,67939,65306,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_28_query300000.ckpt.26599,confidencemetrics,3840838,458472,236120,2006181,16094193,359467,67476,64134,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_31_query330000.ckpt.26599,confidencemetrics,3833192,463656,238809,2000148,16104725,356788,68152,64622,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_33_query350000.ckpt.26599,confidencemetrics,3840472,457126,233752,1994904,16104621,360569,67863,64758,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_4_query60000.ckpt.26599,confidencemetrics,3842450,465841,235495,2017257,16076862,360223,66794,65249,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_7_query90000.ckpt.26599,confidencemetrics,3832118,480826,242724,2023996,16085770,360147,67509,64461,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_9_query110000.ckpt.26599,confidencemetrics,3868061,448931,231002,2017989,16104808,361439,67236,65285,,
tmpselect_random_points_2C_10_query150000.ckpt.29938,confidencemetrics,5787993,948157,483992,1978742,11387105,358552,91265,115350,,
tmpselect_random_points_2C_40_query450000.ckpt.29938,confidencemetrics,5554365,926916,479193,1940560,11684148,370893,90835,112003,,
tmpselect_random_ranges_2C_10_query150000.ckpt.29938,confidencemetrics,6659209,1235177,674264,2816513,9441539,284204,79030,105644,,
tmpselect_random_ranges_2C_40_query450000.ckpt.29938,confidencemetrics,6590378,1196811,648108,2680453,9669376,293066,82222,109616,,
tmpycsb_mongodb_runa_15_txn155100.ckpt.19306,confidencemetrics,3002696,426402,200686,722541,16657321,406796,104288,99390,,
